Term Locale,Term Category,Term,Alias,CaseSensitive
en-US,Legal - CFR Title 26,active leasing expenses,,FALSE
en-US,Legal - CFR Title 26,active licensing expenses,,FALSE
en-US,Legal - CFR Title 10,active mode,,FALSE
en-US,Legal - CFR Title 26,active participant,,FALSE
en-US,Legal - CFR Title 12,activity,,FALSE
en-US,Legal - CFR Title 12,activity permissible for a federal savings association,,FALSE
en-US,Legal - CFR Title 12,activity permissible for a national bank,,FALSE
en-US,Legal - CFR Title 7,actual construction,,FALSE
en-US,Legal - CFR Title 26,actual sale price,,FALSE
en-US,Legal - CFR Title 27,actual sale price,,FALSE
en-US,Legal - CFR Title 26,actual use,,FALSE
en-US,Legal - CFR Title 26,actual useful life,,FALSE
en-US,Legal - CFR Title 26,addition,,FALSE
en-US,Legal - CFR Title 12,address for receiving payment,,FALSE
en-US,Legal - CFR Title 27,adequate and full consideration in money or money's worth,,FALSE
en-US,Legal - CFR Title 13,adequate evidence,,FALSE
en-US,Legal - CFR Title 12,adequate notice,,FALSE
en-US,Legal - CFR Title 20,adjudicating office,,FALSE
en-US,Legal - CFR Title 12,adjustable-rate mortgage,,FALSE
en-US,Legal - CFR Title 12,adjustable-rate mortgage index,,FALSE
en-US,Legal - CFR Title 26,adjusted basis,,FALSE
en-US,Legal - CFR Title 26,adjusted basis of the building,,FALSE
en-US,Legal - CFR Title 26,adjusted capacity,,FALSE
en-US,Legal - CFR Title 26,adjusted gross foreign base company income,,FALSE
en-US,Legal - CFR Title 26,adjusted gross income,,FALSE
en-US,Legal - CFR Title 26,adjusted gross insurance income,,FALSE
en-US,Legal - CFR Title 26,adjusted leasing profit,,FALSE
en-US,Legal - CFR Title 26,adjusted licensing profit,,FALSE
en-US,Legal - CFR Title 26,adjusted net book income,,FALSE
en-US,Legal - CFR Title 26,adjusted net foreign base company income,,FALSE
en-US,Legal - CFR Title 26,adjusted net income,,FALSE
en-US,Legal - CFR Title 26,adjusted net insurance income,,FALSE
en-US,Legal - CFR Title 19,adjusted value,,FALSE
en-US,Legal - CFR Title 12,administration,,FALSE
en-US,Legal - CFR Title 26,administrative expense,,FALSE
en-US,Legal - CFR Title 1,administrative procedure,,FALSE
en-US,Legal - CFR Title 12,administrator,,FALSE
en-US,Legal - CFR Title 19,administrator,,FALSE
en-US,Legal - CFR Title 26,administrator,,FALSE
en-US,Legal - CFR Title 7,administrator,,FALSE
en-US,Legal - CFR Title 19,advanced in value,,FALSE
en-US,Legal - CFR Title 7,advances,,FALSE
en-US,Legal - CFR Title 21,aerosol product,,FALSE
en-US,Legal - CFR Title 26,affected acreage,,FALSE
en-US,Legal - CFR Title 26,affected expenses,,FALSE
en-US,Legal - CFR Title 26,affected investor,,FALSE
en-US,Legal - CFR Title 26,affected ric expenses,,FALSE
en-US,Legal - CFR Title 15,affects,,FALSE
en-US,Legal - CFR Title 10,affiliate,,FALSE
en-US,Legal - CFR Title 12,affiliate,,FALSE
en-US,Legal - CFR Title 17,affiliate,,FALSE
en-US,Legal - CFR Title 7,affiliate,,FALSE
en-US,Legal - CFR Title 12,affiliate relationship,,FALSE
en-US,Legal - CFR Title 26,affiliated domestic owner,,FALSE
en-US,Legal - CFR Title 26,affiliated group,,FALSE
en-US,Legal - CFR Title 12,affiliated group of merchants,,FALSE
en-US,Legal - CFR Title 26,after the application of section 4942(g)(3),,FALSE
en-US,Legal - CFR Title 5,agency,,FALSE
en-US,Legal - CFR Title 12,agent,,FALSE
en-US,Legal - CFR Title 7,aggregate affected area,,FALSE
en-US,Legal - CFR Title 17,aggregate amount,,FALSE
en-US,Legal - CFR Title 26,aggregate basis of property,,FALSE
en-US,Legal - CFR Title 26,aggregate sum of the taxable gifts for each of the preceding calendar periods,,FALSE
en-US,Legal - CFR Title 13,agreement,,FALSE
en-US,Legal - CFR Title 7,agreement,,FALSE
en-US,Legal - CFR Title 26,agreement vessel,,FALSE
en-US,Legal - CFR Title 7,agricultural marketing service,,FALSE
en-US,Legal - CFR Title 7,agricultural seeds,,FALSE
en-US,Legal - CFR Title 10,AHAM,,TRUE
en-US,Legal - CFR Title 10,AHAM HLD-1,,TRUE
en-US,Legal - CFR Title 10,air shutter,,FALSE
en-US,Legal - CFR Title 14,air tour,,FALSE
en-US,Legal - CFR Title 14,air tour operator,,FALSE
en-US,Legal - CFR Title 10,air tube,,FALSE
en-US,Legal - CFR Title 27,aircraft,,FALSE
en-US,Legal - CFR Title 26,airline-related services,,FALSE
en-US,Legal - CFR Title 14,airport layout plan,,FALSE
en-US,Legal - CFR Title 18,alaska natural gas transportation project,,FALSE
en-US,Legal - CFR Title 8,alien who is lawfully present in the united states,,FALSE
en-US,Legal - CFR Title 26,all other distribution percentage,,FALSE
en-US,Legal - CFR Title 19,all-cargo flight,,FALSE
en-US,Legal - CFR Title 26,allocable investment expenses,,FALSE
en-US,Legal - CFR Title 25,allottee,,FALSE
en-US,Legal - CFR Title 26,allowable by the law of the jurisdiction,,FALSE
en-US,Legal - CFR Title 26,allowable distribution period,,FALSE
en-US,Legal - CFR Title 12,allowed claim,,FALSE
en-US,Legal - CFR Title 20,alternative school,,FALSE
en-US,Legal - CFR Title 7,amber,,FALSE
en-US,Legal - CFR Title 19,american vessel,,FALSE
en-US,Legal - CFR Title 12,amortizing loan,,FALSE
en-US,Legal - CFR Title 26,amount held by an insurer with respect to any beneficiary,,FALSE
en-US,Legal - CFR Title 26,amount involved,,FALSE
en-US,Legal - CFR Title 26,amount of a u.s. asset,,FALSE
en-US,Legal - CFR Title 26,amounts paid,,FALSE
en-US,Legal - CFR Title 7,amounts received by the bank during the fiscal year from the issuance of class b stock,,FALSE
en-US,Legal - CFR Title 7,AMS,,TRUE
en-US,Legal - CFR Title 12,an institution that is not covered,,FALSE
en-US,Legal - CFR Title 17,analysis,,FALSE
en-US,Legal - CFR Title 9,animal food manufacturer,,FALSE
en-US,Legal - CFR Title 26,annualized gross income,,FALSE
en-US,Legal - CFR Title 5,annuitant,,FALSE
en-US,Legal - CFR Title 26,annuity starting date,,FALSE
en-US,Legal - CFR Title 10,ANSI/AHAM RAC-1,,TRUE
en-US,Legal - CFR Title 10,ANSI/ASHRAE 16,,TRUE
en-US,Legal - CFR Title 15,any coastal use or resource,,FALSE
en-US,Legal - CFR Title 7,any significant amount of funds,,FALSE
en-US,Legal - CFR Title 8,apec business,,FALSE
en-US,Legal - CFR Title 19,apparel articles,,FALSE
en-US,Legal - CFR Title 5,appeal,,FALSE
en-US,Legal - CFR Title 17,appearance before the commission,,FALSE
en-US,Legal - CFR Title 26,applicable 1968 method,,FALSE
en-US,Legal - CFR Title 12,applicable accounting standards,,FALSE
en-US,Legal - CFR Title 12,applicable law and regulations,,FALSE
en-US,Legal - CFR Title 19,applicable one-year period,,FALSE
en-US,Legal - CFR Title 26,applicable percentage,,FALSE
en-US,Legal - CFR Title 7,applicable reporting period,,FALSE
en-US,Legal - CFR Title 26,applicable tax limit,,FALSE
en-US,Legal - CFR Title 15,applicant,,FALSE
en-US,Legal - CFR Title 17,applicant,,FALSE
en-US,Legal - CFR Title 7,applicant,,FALSE
en-US,Legal - CFR Title 9,applicant,,FALSE
en-US,Legal - CFR Title 15,applicant agency,,FALSE
en-US,Legal - CFR Title 10,application,,FALSE
en-US,Legal - CFR Title 15,application,,FALSE
en-US,Legal - CFR Title 12,appraisal management company,,FALSE
en-US,Legal - CFR Title 12,appraisal services,,FALSE
en-US,Legal - CFR Title 12,appropriate advance payment,,FALSE
en-US,Legal - CFR Title 26,appropriate conversion factor,,FALSE
en-US,Legal - CFR Title 17,appropriate domestic regulator,,FALSE
en-US,Legal - CFR Title 12,appropriate federal agency,,FALSE
en-US,Legal - CFR Title 12,appropriate federal banking agency or insurer,,FALSE
en-US,Legal - CFR Title 17,appropriate foreign regulator,,FALSE
en-US,Legal - CFR Title 19,appropriate official,,FALSE
en-US,Legal - CFR Title 20,appropriate secretary,,FALSE
en-US,Legal - CFR Title 26,appropriate valuation date,,FALSE
en-US,Legal - CFR Title 7,approved plant,,FALSE
en-US,Legal - CFR Title 19,archaeological or ethnological material of iraq,,FALSE
en-US,Legal - CFR Title 19,archaeological or ethnological material of syria,,FALSE
en-US,Legal - CFR Title 25,area director,,FALSE
en-US,Legal - CFR Title 26,area of chronic economic distress,,FALSE
en-US,Legal - CFR Title 21,area of the principal display panel,,FALSE
en-US,Legal - CFR Title 20,armed force,,FALSE
en-US,Legal - CFR Title 19,arrival of a vessel,,FALSE
en-US,Legal - CFR Title 19,articles of jewelry containing jadeite or rubies,,FALSE
en-US,Legal - CFR Title 7,as-is' value,,FALSE
en-US,Legal - CFR Title 10,asme code,,FALSE
en-US,Legal - CFR Title 19,assembly,,FALSE
en-US,Legal - CFR Title 7,assessment period,,FALSE
en-US,Legal - CFR Title 17,asset class,,FALSE
en-US,Legal - CFR Title 26,asset depreciation period,,FALSE
en-US,Legal - CFR Title 26,asset guideline class,,FALSE
en-US,Legal - CFR Title 26,asset used or held for use in a trade or business,,FALSE
en-US,Legal - CFR Title 7,assistance,,FALSE
en-US,Legal - CFR Title 15,assistant administrator,,FALSE
en-US,Legal - CFR Title 19,assistant commissioner,,FALSE
en-US,Legal - CFR Title 15,assistant secretary,,FALSE
en-US,Legal - CFR Title 25,assistant secretary--indian affairs,,FALSE
en-US,Legal - CFR Title 5,associate director,,FALSE
en-US,Legal - CFR Title 19,associated equipment,,FALSE
en-US,Legal - CFR Title 15,associated facilities,,FALSE
en-US,Legal - CFR Title 12,associated nonprofit entities,,FALSE
en-US,Legal - CFR Title 25,association,,FALSE
en-US,Legal - CFR Title 26,atomic energy commission,,FALSE
en-US,Legal - CFR Title 19,ATPA,,TRUE
en-US,Legal - CFR Title 19,atpdea beneficiary country,,FALSE
en-US,Legal - CFR Title 19,atpdea beneficiary country vessel,,FALSE
en-US,Legal - CFR Title 2,audiovisual,,FALSE
en-US,Legal - CFR Title 15,authorized companies,,FALSE
en-US,Legal - CFR Title 7,authorized rus representative,,FALSE
en-US,Legal - CFR Title 7,authorized to receive,,FALSE
en-US,Legal - CFR Title 12,automated teller machine operator,,FALSE
en-US,Legal - CFR Title 12,automated underwriting system,,FALSE
en-US,Legal - CFR Title 26,automatic energy-saving setback thermostat,,FALSE
en-US,Legal - CFR Title 10,automatic termination control,,FALSE
en-US,Legal - CFR Title 10,automatic termination control dryer,,FALSE
en-US,Legal - CFR Title 26,automobile,,FALSE
en-US,Legal - CFR Title 14,autopilot,,FALSE
en-US,Legal - CFR Title 12,auxiliary aids,,FALSE
en-US,Legal - CFR Title 26,average area purchase price,,FALSE
en-US,Legal - CFR Title 26,average balance,,FALSE
en-US,Legal - CFR Title 7,average carcass weight,,FALSE
en-US,Legal - CFR Title 15,average industry acceptance,,FALSE
en-US,Legal - CFR Title 7,average lean percentage,,FALSE
en-US,Legal - CFR Title 7,average net price,,FALSE
en-US,Legal - CFR Title 12,average prime offer rate,,FALSE
en-US,Legal - CFR Title 7,average sort loss,,FALSE
en-US,Legal - CFR Title 7,backfat,,FALSE
en-US,Legal - CFR Title 10,background,,FALSE
en-US,Legal - CFR Title 7,badly misshapen,,FALSE
en-US,Legal - CFR Title 7,badly skinned,,FALSE
en-US,Legal - CFR Title 12,balloon payment,,FALSE
en-US,Legal - CFR Title 12,bank,,FALSE
en-US,Legal - CFR Title 14,bank,,FALSE
en-US,Legal - CFR Title 12,bank holding company,,FALSE
en-US,Legal - CFR Title 19,barge or other bulk carrier,,FALSE
en-US,Legal - CFR Title 10,barometic draft regulator or barometric damper,,FALSE
en-US,Legal - CFR Title 7,barrow,,FALSE
en-US,Legal - CFR Title 26,base amount,,FALSE
en-US,Legal - CFR Title 7,base market hog,,FALSE
en-US,Legal - CFR Title 16,base period,,FALSE
en-US,Legal - CFR Title 26,base period,,FALSE
en-US,Legal - CFR Title 26,base period construction costs,,FALSE
en-US,Legal - CFR Title 26,base period research expenses,,FALSE
en-US,Legal - CFR Title 7,base price,,FALSE
en-US,Legal - CFR Title 20,base year,,FALSE
en-US,Legal - CFR Title 12,basel committee principles for liquidity risk management,,FALSE
en-US,Legal - CFR Title 5,basic pay,,FALSE
en-US,Legal - CFR Title 7,basis level,,FALSE
en-US,Legal - CFR Title 12,before the first payment at the adjusted level is due,,FALSE
en-US,Legal - CFR Title 17,beneficial interest,,FALSE
en-US,Legal - CFR Title 20,beneficiary,,FALSE
en-US,Legal - CFR Title 19,beneficiary country,,FALSE
en-US,Legal - CFR Title 20,benefit year,,FALSE
en-US,Legal - CFR Title 10,benefits,,FALSE
en-US,Legal - CFR Title 20,benefits,,FALSE
en-US,Legal - CFR Title 26,benefits on a termination basis,,FALSE
en-US,Legal - CFR Title 10,BEP,,TRUE
en-US,Legal - CFR Title 15,best customer price,,FALSE
en-US,Legal - CFR Title 12,binding written commitment,,FALSE
en-US,Legal - CFR Title 9,biological residue,,FALSE
en-US,Legal - CFR Title 13,blocker entity,,FALSE
en-US,Legal - CFR Title 7,boar,,FALSE
en-US,Legal - CFR Title 12,board,,FALSE
en-US,Legal - CFR Title 20,board,,FALSE
en-US,Legal - CFR Title 17,board of directors,,FALSE
en-US,Legal - CFR Title 12,board of governors,,FALSE
en-US,Legal - CFR Title 10,boiler,,FALSE
en-US,Legal - CFR Title 12,bona fide arbitrage,,FALSE
en-US,Legal - CFR Title 8,bona fide business person engaged in business in the apec region,,FALSE
en-US,Legal - CFR Title 26,bond,,FALSE
en-US,Legal - CFR Title 10,bone dry,,FALSE
en-US,Legal - CFR Title 26,book value,,FALSE
en-US,Legal - CFR Title 8,border commuter student,,FALSE
en-US,Legal - CFR Title 7,borrower,,FALSE
en-US,Legal - CFR Title 7,boxed beef,,FALSE
en-US,Legal - CFR Title 7,boxed lamb,,FALSE
en-US,Legal - CFR Title 26,boycotting country,,FALSE
en-US,Legal - CFR Title 7,braided red onions,,FALSE
en-US,Legal - CFR Title 26,branch,,FALSE
en-US,Legal - CFR Title 26,branch interest,,FALSE
en-US,Legal - CFR Title 7,branded,,FALSE
en-US,Legal - CFR Title 12,breach of information,,FALSE
en-US,Legal - CFR Title 12,breach of trust,,FALSE
en-US,Legal - CFR Title 5,break in service,,FALSE
en-US,Legal - CFR Title 26,break in service rules,,FALSE
en-US,Legal - CFR Title 7,breakers,,FALSE
en-US,Legal - CFR Title 7,bred female swine,,FALSE
en-US,Legal - CFR Title 12,bridge financial company,,FALSE
en-US,Legal - CFR Title 19,british columbia coast,,FALSE
en-US,Legal - CFR Title 19,british columbia interior,,FALSE
en-US,Legal - CFR Title 19,broker,,FALSE
en-US,Legal - CFR Title 26,brother-sister group of trades or businesses under common control,,FALSE
en-US,Legal - CFR Title 26,brother-sister group under common control,,FALSE
en-US,Legal - CFR Title 15,bundled,,FALSE
en-US,Legal - CFR Title 20,bureau,,FALSE
en-US,Legal - CFR Title 25,bureau,,FALSE
en-US,Legal - CFR Title 25,bureau of indian affairs,,FALSE
en-US,Legal - CFR Title 10,business day,,FALSE
en-US,Legal - CFR Title 12,business day,,FALSE
en-US,Legal - CFR Title 17,business day,,FALSE
en-US,Legal - CFR Title 19,business day,,FALSE
en-US,Legal - CFR Title 7,business day,,FALSE
en-US,Legal - CFR Title 1,business information,,FALSE
en-US,Legal - CFR Title 5,business information,,FALSE
en-US,Legal - CFR Title 5,by representation,,FALSE
en-US,Legal - CFR Title 26,calendar period,,FALSE
en-US,Legal - CFR Title 26,calendar quarter,,FALSE
en-US,Legal - CFR Title 5,calendar-year basis,,FALSE
en-US,Legal - CFR Title 26,candidate for a degree,,FALSE
en-US,Legal - CFR Title 10,cap,,FALSE
en-US,Legal - CFR Title 14,capable of operating safely,,FALSE
en-US,Legal - CFR Title 17,capital,,FALSE
en-US,Legal - CFR Title 12,capital stock and surplus,,FALSE
en-US,Legal - CFR Title 7,carcass characteristics,,FALSE
en-US,Legal - CFR Title 19,cargo,,FALSE
en-US,Legal - CFR Title 7,carlot-based,,FALSE
en-US,Legal - CFR Title 20,carrier,,FALSE
en-US,Legal - CFR Title 7,case,,FALSE
en-US,Legal - CFR Title 7,cattle committed,,FALSE
en-US,Legal - CFR Title 7,cattle type,,FALSE
en-US,Legal - CFR Title 26,caulking,,FALSE
en-US,Legal - CFR Title 19,CBERA,,TRUE
en-US,Legal - CFR Title 19,CBP,,TRUE
en-US,Legal - CFR Title 19,cbtpa beneficiary country,,FALSE
en-US,Legal - CFR Title 19,cbtpa originating good,,FALSE
en-US,Legal - CFR Title 7,CED,,TRUE
en-US,Legal - CFR Title 26,cement mixer,,FALSE
en-US,Legal - CFR Title 26,census tract,,FALSE
en-US,Legal - CFR Title 19,center director,,FALSE
en-US,Legal - CFR Title 26,certificate credit rate,,FALSE
en-US,Legal - CFR Title 7,certificate of sampling,,FALSE
en-US,Legal - CFR Title 15,certification,,FALSE
en-US,Legal - CFR Title 19,certification,,FALSE
en-US,Legal - CFR Title 6,certification,,FALSE
en-US,Legal - CFR Title 26,certified historic structure,,FALSE
en-US,Legal - CFR Title 26,certified indebtedness amount,,FALSE
en-US,Legal - CFR Title 26,certified pollution control facility,,FALSE
en-US,Legal - CFR Title 26,certified rehabilitation,,FALSE
en-US,Legal - CFR Title 19,certifying authority,,FALSE
en-US,Legal - CFR Title 26,certifying authority,,FALSE
en-US,Legal - CFR Title 26,chain,,FALSE
en-US,Legal - CFR Title 26,chain election,,FALSE
en-US,Legal - CFR Title 19,change in classification,,FALSE
en-US,Legal - CFR Title 12,changed circumstance,,FALSE
en-US,Legal - CFR Title 14,chapter 4 noise level,,FALSE
en-US,Legal - CFR Title 12,charge-off,,FALSE
en-US,Legal - CFR Title 27,chief law enforcement officer,,FALSE
en-US,Legal - CFR Title 26,child,,FALSE
en-US,Legal - CFR Title 5,child,,FALSE
en-US,Legal - CFR Title 16,child care article,,FALSE
en-US,Legal - CFR Title 20,child in care,,FALSE
en-US,Legal - CFR Title 25,child-custody proceeding,,FALSE
en-US,Legal - CFR Title 20,children,,FALSE
en-US,Legal - CFR Title 26,church plan,,FALSE
en-US,Legal - CFR Title 19,circumvention,,FALSE
en-US,Legal - CFR Title 15,civil end-user,,FALSE
en-US,Legal - CFR Title 25,civil service commission personnel records,,FALSE
en-US,Legal - CFR Title 20,civilian american citizen,,FALSE
en-US,Legal - CFR Title 10,claim,,FALSE
en-US,Legal - CFR Title 12,claim,,FALSE
en-US,Legal - CFR Title 19,claim for preferential tariff treatment,,FALSE
en-US,Legal - CFR Title 26,claim limitation date,,FALSE
en-US,Legal - CFR Title 19,claim of origin,,FALSE
en-US,Legal - CFR Title 19,class of motor vehicles,,FALSE
en-US,Legal - CFR Title 26,classification,,FALSE
en-US,Legal - CFR Title 18,classified information,,FALSE
en-US,Legal - CFR Title 2,classified information,,FALSE
en-US,Legal - CFR Title 7,clean,,FALSE
en-US,Legal - CFR Title 12,clear and conspicuous,,FALSE
en-US,Legal - CFR Title 17,clear and conspicuous,,FALSE
en-US,Legal - CFR Title 19,clerical error or other mistake,,FALSE
en-US,Legal - CFR Title 26,clinical testing,,FALSE
en-US,Legal - CFR Title 19,closely integrated administrative control,,FALSE
en-US,Legal - CFR Title 12,closing funds,,FALSE
en-US,Legal - CFR Title 26,coal used by the producer,,FALSE
en-US,Legal - CFR Title 7,coated seed,,FALSE
en-US,Legal - CFR Title 26,code,,FALSE
en-US,Legal - CFR Title 15,cold area,,FALSE
en-US,Legal - CFR Title 13,collectively,,FALSE
en-US,Legal - CFR Title 7,collectively,,FALSE
en-US,Legal - CFR Title 7,colored,,FALSE
en-US,Legal - CFR Title 26,combined group of trades or businesses under common control,,FALSE
en-US,Legal - CFR Title 26,combined group under common control,,FALSE
en-US,Legal - CFR Title 26,combined qualified expenses,,FALSE
en-US,Legal - CFR Title 26,combined qualified indebtedness,,FALSE
en-US,Legal - CFR Title 26,commencing business,,FALSE
en-US,Legal - CFR Title 7,commerce,,FALSE
en-US,Legal - CFR Title 9,commerce,,FALSE
en-US,Legal - CFR Title 27,commercial financing security,,FALSE
en-US,Legal - CFR Title 25,commercial fishing,,FALSE
en-US,Legal - CFR Title 27,commercial transactions financing agreement,,FALSE
en-US,Legal - CFR Title 19,commercial truck,,FALSE
en-US,Legal - CFR Title 17,commercial use,,FALSE
en-US,Legal - CFR Title 22,commercial use,,FALSE
en-US,Legal - CFR Title 1,commercial use request,,FALSE
en-US,Legal - CFR Title 5,'commercial use' request,,FALSE
en-US,Legal - CFR Title 7,commercial value,,FALSE
en-US,Legal - CFR Title 19,commercial vessel,,FALSE
en-US,Legal - CFR Title 26,commercial waterway transportation,,FALSE
en-US,Legal - CFR Title 19,commingled,,FALSE
en-US,Legal - CFR Title 12,commission,,FALSE
en-US,Legal - CFR Title 18,commission,,FALSE
en-US,Legal - CFR Title 25,commission privacy act officer,,FALSE
en-US,Legal - CFR Title 19,commissioner,,FALSE
en-US,Legal - CFR Title 25,commissioner,,FALSE
en-US,Legal - CFR Title 26,commissioner,,FALSE
en-US,Legal - CFR Title 24,commit to a specific local project,,FALSE
en-US,Legal - CFR Title 26,commodities,,FALSE
en-US,Legal - CFR Title 26,commodity,,FALSE
en-US,Legal - CFR Title 7,commodity,,FALSE
en-US,Legal - CFR Title 19,common carrier,,FALSE
en-US,Legal - CFR Title 9,common household unit,,FALSE
en-US,Legal - CFR Title 26,common investment fund,,FALSE
en-US,Legal - CFR Title 17,communication,,FALSE
en-US,Legal - CFR Title 17,communication with the commission,,FALSE
en-US,Legal - CFR Title 20,community or other public facility,,FALSE
en-US,Legal - CFR Title 19,commute compensation,,FALSE
en-US,Legal - CFR Title 14,commuters,,FALSE
en-US,Legal - CFR Title 10,compact size,,FALSE
en-US,Legal - CFR Title 12,company,,FALSE
en-US,Legal - CFR Title 17,company,,FALSE
en-US,Legal - CFR Title 18,company,,FALSE
en-US,Legal - CFR Title 20,company,,FALSE
en-US,Legal - CFR Title 10,compelling need,,FALSE
en-US,Legal - CFR Title 11,compelling need,,FALSE
en-US,Legal - CFR Title 12,compelling need,,FALSE
en-US,Legal - CFR Title 16,compelling need,,FALSE
en-US,Legal - CFR Title 17,compelling need,,FALSE
en-US,Legal - CFR Title 5,compelling need,,FALSE
en-US,Legal - CFR Title 5,compelling need,,FALSE
en-US,Legal - CFR Title 26,compensating use tax,,FALSE
en-US,Legal - CFR Title 12,compensation,,FALSE
en-US,Legal - CFR Title 20,compensation,,FALSE
en-US,Legal - CFR Title 26,compensation,,FALSE
en-US,Legal - CFR Title 26,compensation,,FALSE
en-US,Legal - CFR Title 26,competent authorities,,FALSE
en-US,Legal - CFR Title 7,complete record,,FALSE
en-US,Legal - CFR Title 19,component of the good that determines the tariff classification of the good,,FALSE
en-US,Legal - CFR Title 12,concise,,FALSE
en-US,Legal - CFR Title 17,concise,,FALSE
en-US,Legal - CFR Title 10,condensing vented heater,,FALSE
en-US,Legal - CFR Title 7,condition,,FALSE
en-US,Legal - CFR Title 19,conditionally duty-free merchandise,,FALSE
en-US,Legal - CFR Title 26,conditioned area,,FALSE
en-US,Legal - CFR Title 7,conditioning,,FALSE
en-US,Legal - CFR Title 14,conditions conducive to airframe icing,,FALSE
en-US,Legal - CFR Title 26,condominium management association,,FALSE
en-US,Legal - CFR Title 12,confidential source,,FALSE
en-US,Legal - CFR Title 7,conflict of interest,,FALSE
en-US,Legal - CFR Title 26,congregation composed predominantly of citizens of the united states,,FALSE
en-US,Legal - CFR Title 15,consensus,,FALSE
en-US,Legal - CFR Title 15,consistent to the maximum extent practicable,,FALSE
en-US,Legal - CFR Title 26,consolidated adjusted net book income,,FALSE
en-US,Legal - CFR Title 26,consolidated group,,FALSE
en-US,Legal - CFR Title 26,consolidated offset,,FALSE
en-US,Legal - CFR Title 15,consolidated record,,FALSE
en-US,Legal - CFR Title 26,consolidation,,FALSE
en-US,Legal - CFR Title 19,conspicuous,,FALSE
en-US,Legal - CFR Title 26,constitutional home rule city,,FALSE
en-US,Legal - CFR Title 18,construction,,FALSE
en-US,Legal - CFR Title 12,consumer,,FALSE
en-US,Legal - CFR Title 17,consumer,,FALSE
en-US,Legal - CFR Title 26,consumer,,FALSE
en-US,Legal - CFR Title 7,consumer,,FALSE
en-US,Legal - CFR Title 7,consumer education,,FALSE
en-US,Legal - CFR Title 17,consumer information,,FALSE
en-US,Legal - CFR Title 9,consumer package,,FALSE
en-US,Legal - CFR Title 12,consummation,,FALSE
en-US,Legal - CFR Title 21,contacts humans,,FALSE
en-US,Legal - CFR Title 19,container,,FALSE
en-US,Legal - CFR Title 10,containment isolation valve,,FALSE
en-US,Legal - CFR Title 7,contemporaneous loan,,FALSE
en-US,Legal - CFR Title 18,contested case,,FALSE
en-US,Legal - CFR Title 26,contingent payment sale,,FALSE
en-US,Legal - CFR Title 16,continuous,,FALSE
en-US,Legal - CFR Title 10,contract,,FALSE
en-US,Legal - CFR Title 7,contract,,FALSE
en-US,Legal - CFR Title 26,contract price,,FALSE
en-US,Legal - CFR Title 10,contracting officer,,FALSE
en-US,Legal - CFR Title 6,contractor,,FALSE
en-US,Legal - CFR Title 26,contributed services and accommodations,,FALSE
