Term Locale,Term Category,Term,Alias,CaseSensitive
en-AU,Geopolitical - Regulatory,Australian Financial Security Authority,,FALSE
en-AU,Geopolitical - Regulatory,Australian Fisheries Management Authority,,FALSE
en-AU,Geopolitical - Regulatory,Australian Government Solicitor,,FALSE
en-AU,Geopolitical - Regulatory,Australian Hearing,,FALSE
en-AU,Geopolitical - Regulatory,Australian Human Rights Commission,,FALSE
en-AU,Geopolitical - Regulatory,Australian Institute for Teaching and School Leadership,,FALSE
en-AU,Geopolitical - Regulatory,Australian Institute of Aboriginal and Torres Strait Islander Studies,,FALSE
en-AU,Geopolitical - Regulatory,Australian Institute of Criminology,,FALSE
en-AU,Geopolitical - Regulatory,Australian Institute of Family Studies,AIFS,FALSE
en-AU,Geopolitical - Regulatory,Australian Institute of Health and Welfare,,FALSE
en-AU,Geopolitical - Regulatory,Australian Institute of Marine Science,,FALSE
en-AU,Geopolitical - Regulatory,Australian Institute of Police Management,,FALSE
en-AU,Geopolitical - Regulatory,Australian Law Reform Commission,,FALSE
en-AU,Geopolitical - Regulatory,Australian Maritime Safety Authority,,FALSE
en-AU,Geopolitical - Regulatory,Australian National Audit Office,,FALSE
en-AU,Geopolitical - Regulatory,Australian National Maritime Museum,,FALSE
en-AU,Geopolitical - Regulatory,Australian Nuclear Science and Technology Organisation,,FALSE
en-AU,Geopolitical - Regulatory,Australian Office of Financial Management,,FALSE
en-AU,Geopolitical - Regulatory,Australian Pesticides and Veterinary Medicines Authority,,FALSE
en-AU,Geopolitical - Regulatory,Australian Egg Corporation Limited,Australian Egg Corporation Ltd,FALSE
en-AU,Geopolitical - Regulatory,Australian Pork Ltd,Australian Pork Limited,FALSE
en-AU,Geopolitical - Regulatory,Australian Prudential Regulation Authority,,FALSE
en-AU,Geopolitical - Regulatory,Australian Public Service Commission,,FALSE
en-AU,Geopolitical - Regulatory,Australian Radiation Protection and Nuclear Safety Agency,,FALSE
en-AU,Geopolitical - Regulatory,Australian Rail Track Corporation,,FALSE
en-AU,Geopolitical - Regulatory,Australian Reinsurance Pool Corporation,,FALSE
en-AU,Geopolitical - Regulatory,Australian Renewable Energy Agency,,FALSE
en-AU,Geopolitical - Regulatory,Australian Research Council,,FALSE
en-AU,Geopolitical - Regulatory,Australian Secret Intelligence Service,,FALSE
en-AU,Geopolitical - Regulatory,Australian Securities and Investments Commission,,FALSE
en-AU,Geopolitical - Regulatory,Australian Security Intelligence Organisation,,FALSE
en-AU,Geopolitical - Regulatory,Australian Signals Directorate,,FALSE
en-AU,Geopolitical - Regulatory,Australian Skills Quality Authority,,FALSE
en-AU,Geopolitical - Regulatory,Australian Small Business and Family Enterprise Ombudsman,,FALSE
en-AU,Geopolitical - Regulatory,Australian Civil Military Centre,,FALSE
en-AU,Geopolitical - Regulatory,Australian Sports Anti-Doping Authority,,FALSE
en-AU,Geopolitical - Regulatory,Australian Sports Commission,,FALSE
en-AU,Geopolitical - Regulatory,Australian Sports Foundation,,FALSE
en-AU,Geopolitical - Regulatory,Australian Statistics Advisory Council,,FALSE
en-AU,Geopolitical - Regulatory,Australian Strategic Policy Institute,,FALSE
en-AU,Geopolitical - Regulatory,Australian Taxation Office,,FALSE
en-AU,Geopolitical - Regulatory,Australian Transaction Reports and Analysis Centre,,FALSE
en-AU,Geopolitical - Regulatory,Australian Transport Safety Bureau,,FALSE
en-AU,Geopolitical - Regulatory,Australian War Memorial,,FALSE
en-AU,Geopolitical - Regulatory,Australian Wool Innovation,,FALSE
en-AU,Geopolitical - Regulatory,Board of Taxation,,FALSE
en-AU,Geopolitical - Regulatory,Bundanon Trust,,FALSE
en-AU,Geopolitical - Regulatory,Bureau of Meteorology,,FALSE
en-AU,Geopolitical - Regulatory,Cancer Australia,,FALSE
en-AU,Geopolitical - Regulatory,Central Land Council,,FALSE
en-AU,Geopolitical - Regulatory,Civil Aviation Safety Authority,,FALSE
en-AU,Geopolitical - Regulatory,Clean Energy Finance Corporation,,FALSE
en-AU,Geopolitical - Regulatory,Clean Energy Regulator,,FALSE
en-AU,Geopolitical - Regulatory,Climate Change Authority,,FALSE
en-AU,Geopolitical - Regulatory,Comcare,,FALSE
en-AU,Geopolitical - Regulatory,Commonwealth Director of Public Prosecutions,,FALSE
en-AU,Geopolitical - Regulatory,Commonwealth Grants Commission,,FALSE
en-AU,Geopolitical - Regulatory,Commonwealth Ombudsman,,FALSE
en-AU,Geopolitical - Regulatory,Commonwealth Superannuation Corporation,,FALSE
en-AU,Geopolitical - Regulatory,Cotton Research and Development Corporation,,FALSE
en-AU,Geopolitical - Regulatory,Creative Partnerships Australia,,FALSE
en-AU,Geopolitical - Regulatory,Commonwealth Scientific and Industrial Research Organisation,CSIRO,FALSE
en-AU,Geopolitical - Regulatory,Dairy Australia,,FALSE
en-AU,Geopolitical - Regulatory,Defence Force Discipline Appeal Tribunal,,FALSE
en-AU,Geopolitical - Regulatory,Defence Force Remuneration Tribunal,,FALSE
en-AU,Geopolitical - Regulatory,Defence Housing Australia,,FALSE
en-AU,Geopolitical - Regulatory,Defence Materiel Organisation,,FALSE
en-AU,Geopolitical - Regulatory,Defence Science and Technology Group,,FALSE
en-AU,Geopolitical - Regulatory,Department of Parliamentary Services,,FALSE
en-AU,Geopolitical - Regulatory,Department of the Senate,,FALSE
en-AU,Geopolitical - Regulatory,Digital Transformation Agency,,FALSE
en-AU,Geopolitical - Regulatory,Export Finance and Insurance Corporation,,FALSE
en-AU,Geopolitical - Regulatory,Fair Work Building and Construction,,FALSE
en-AU,Geopolitical - Regulatory,Fair Work Commission,,FALSE
en-AU,Geopolitical - Regulatory,Fair Work Ombudsman,,FALSE
en-AU,Geopolitical - Regulatory,Family Court of Australia,,FALSE
en-AU,Geopolitical - Regulatory,Federal Circuit Court of Australia,,FALSE
en-AU,Geopolitical - Regulatory,Federal Court of Australia,,FALSE
en-AU,Geopolitical - Regulatory,Financial Reporting Council,,FALSE
en-AU,Geopolitical - Regulatory,Fisheries Research and Development Corporation,,FALSE
en-AU,Geopolitical - Regulatory,Food Standards Australia New Zealand,,FALSE
en-AU,Geopolitical - Regulatory,Foreign Investment Review Board,,FALSE
en-AU,Geopolitical - Regulatory,Forest and Wood Products Australia,,FALSE
en-AU,Geopolitical - Regulatory,Future Fund,,FALSE
en-AU,Geopolitical - Regulatory,Geoscience Australia,,FALSE
en-AU,Geopolitical - Regulatory,Grains Research and Development Corporation,,FALSE
en-AU,Geopolitical - Regulatory,Great Barrier Reef Marine Park Authority,,FALSE
en-AU,Geopolitical - Regulatory,High Court of Australia,,FALSE
en-AU,Geopolitical - Regulatory,Independent Hospital Pricing Authority,,FALSE
en-AU,Geopolitical - Regulatory,Indigenous Business Australia,,FALSE
en-AU,Geopolitical - Regulatory,Indigenous Land Corporation,,FALSE
en-AU,Geopolitical - Regulatory,Infrastructure and Project Financing Agency,,FALSE
en-AU,Geopolitical - Regulatory,Inspector General of Taxation,,FALSE
en-AU,Geopolitical - Regulatory,Australian Sports Anti Doping Authority,,FALSE
en-AU,Geopolitical - Regulatory,Inspector-General of Intelligence and Security,,FALSE
en-AU,Geopolitical - Regulatory,IP Australia,,FALSE
en-AU,Geopolitical - Regulatory,LiveCorp,,FALSE
en-AU,Geopolitical - Regulatory,Meat and Livestock Australia,,FALSE
en-AU,Geopolitical - Regulatory,Ministry for the Arts,,FALSE
en-AU,Geopolitical - Regulatory,Inspector General of Intelligence and Security,,FALSE
en-AU,Geopolitical - Regulatory,Murray-Darling Basin Authority,Murray Darling Basin Authority,FALSE
en-AU,Geopolitical - Regulatory,Museum of Australian Democracy at Old Parliament House,,FALSE
en-AU,Geopolitical - Regulatory,National Archives of Australia,,FALSE
en-AU,Geopolitical - Regulatory,National Blood Authority,,FALSE
en-AU,Geopolitical - Regulatory,National Capital Authority,,FALSE
en-AU,Geopolitical - Regulatory,National Competition Council,,FALSE
en-AU,Geopolitical - Regulatory,National Disability Insurance Scheme,,FALSE
en-AU,Geopolitical - Regulatory,National Film and Sound Archive,,FALSE
en-AU,Geopolitical - Regulatory,National Gallery of Australia,,FALSE
en-AU,Geopolitical - Regulatory,National Health and Medical Research Council,,FALSE
en-AU,Geopolitical - Regulatory,National Health Funding Body,,FALSE
en-AU,Geopolitical - Regulatory,National Health Performance Authority,,FALSE
en-AU,Geopolitical - Regulatory,National Health Practitioner Ombudsman and Privacy Commissioner,,FALSE
en-AU,Geopolitical - Regulatory,National Heavy Vehicle Regulator,,FALSE
en-AU,Geopolitical - Regulatory,National Industrial Chemicals Notification and Assessment Scheme,,FALSE
en-AU,Geopolitical - Regulatory,National Library of Australia,,FALSE
en-AU,Geopolitical - Regulatory,National Measurement Institute,,FALSE
en-AU,Geopolitical - Regulatory,National Mental Health Commission,,FALSE
en-AU,Geopolitical - Regulatory,National Museum of Australia,,FALSE
en-AU,Geopolitical - Regulatory,National Native Title Tribunal,,FALSE
en-AU,Geopolitical - Regulatory,National Offshore Petroleum Safety and Environmental Management Authority,,FALSE
en-AU,Geopolitical - Regulatory,National Portrait Gallery,,FALSE
en-AU,Geopolitical - Regulatory,National Transport Commission,,FALSE
en-AU,Geopolitical - Regulatory,NBN Co,,FALSE
en-AU,Geopolitical - Regulatory,Northern Land Council,,FALSE
en-AU,Geopolitical - Regulatory,National Serology Reference Laboratory,,FALSE
en-AU,Geopolitical - Regulatory,NRL,,TRUE
en-AU,Geopolitical - Regulatory,Office of National Assessments,,FALSE
en-AU,Geopolitical - Regulatory,Office of Parliamentary Counsel,,FALSE
en-AU,Geopolitical - Regulatory,Office of the Australian Information Commissioner,,FALSE
en-AU,Geopolitical - Regulatory,Office of the Children’s eSafety Commissioner,,FALSE
en-AU,Geopolitical - Regulatory,Office of the Federal Safety Commissioner,,FALSE
en-AU,Geopolitical - Regulatory,Office of the Migration Agents Registration Authority,,FALSE
en-AU,Geopolitical - Regulatory,Office of the Registrar of Indigenous Corporations,,FALSE
en-AU,Geopolitical - Regulatory,Office of Township Leasing,,FALSE
en-AU,Geopolitical - Regulatory,Organ and Tissue Authority,,FALSE
en-AU,Geopolitical - Regulatory,Parks Australia,,FALSE
en-AU,Geopolitical - Regulatory,Parliament of Australia,,FALSE
en-AU,Geopolitical - Regulatory,Parliamentary Budget Office,,FALSE
en-AU,Geopolitical - Regulatory,Parliamentary Education Office,,FALSE
en-AU,Geopolitical - Regulatory,Productivity Commission,,FALSE
en-AU,Geopolitical - Regulatory,Professional Services Review,,FALSE
en-AU,Geopolitical - Regulatory,Professional Standards Board for Patent and Trade Mark Attorneys,,FALSE
en-AU,Geopolitical - Regulatory,Questacon,National Science and Technology Centre,FALSE
en-AU,Geopolitical - Regulatory,Regional Development Australia,,FALSE
en-AU,Geopolitical - Regulatory,Remuneration Tribunal,,FALSE
en-AU,Geopolitical - Regulatory,Reserve Bank of Australia,,FALSE
en-AU,Geopolitical - Regulatory,Royal Australian Mint,,FALSE
en-AU,Geopolitical - Regulatory,Rural Industries Research and Development Corporation,,FALSE
en-AU,Geopolitical - Regulatory,Safe Work Australia,,FALSE
en-AU,Geopolitical - Regulatory,"Safety, Rehabilitation and Compensation Commission",,FALSE
en-AU,Geopolitical - Regulatory,Special Broadcasting Service,SBS,FALSE
en-AU,Geopolitical - Regulatory,Screen Australia,,FALSE
en-AU,Geopolitical - Regulatory,"Seafarers Safety, Rehabilitation and Compensation Authority",,FALSE
en-AU,Geopolitical - Regulatory,Sugar Research Australia,,FALSE
en-AU,Geopolitical - Regulatory,Superannuation Complaints Tribunal,,FALSE
en-AU,Geopolitical - Regulatory,Sydney Harbour Federation Trust,,FALSE
en-AU,Geopolitical - Regulatory,Tax Practitioners Board,,FALSE
en-AU,Geopolitical - Regulatory,Tertiary Education Quality and Standards Agency,,FALSE
en-AU,Geopolitical - Regulatory,Tiwi Land Council,,FALSE
en-AU,Geopolitical - Regulatory,Torres Strait Regional Authority,,FALSE
en-AU,Geopolitical - Regulatory,Tourism Australia,,FALSE
en-AU,Geopolitical - Regulatory,Veterans' Review Board,,FALSE
en-AU,Geopolitical - Regulatory,Workplace Gender Equality Agency,,FALSE
