Term Locale,Term Category,Term,CaseSensitive
en-US,US GAAP FASB,Declining-Balance Method,FALSE
en-US,US GAAP FASB,Defalcation,FALSE
en-US,US GAAP FASB,Default,FALSE
en-US,US GAAP FASB,Defeasance,FALSE
en-US,US GAAP FASB,Deferral,FALSE
en-US,US GAAP FASB,Deferred Charge,FALSE
en-US,US GAAP FASB,Deferred Income Taxes,FALSE
en-US,US GAAP FASB,Deferred Interest Bond,FALSE
en-US,US GAAP FASB,Deferred Payment Annuity,FALSE
en-US,US GAAP FASB,Deficiency in Design,FALSE
en-US,US GAAP FASB,Deficiency in Operation,FALSE
en-US,US GAAP FASB,Deficit,FALSE
en-US,US GAAP FASB,Defined Benefit Plan,FALSE
en-US,US GAAP FASB,Defined Contribution Plan,FALSE
en-US,US GAAP FASB,Deflation,FALSE
en-US,US GAAP FASB,Demand Loan,FALSE
en-US,US GAAP FASB,Dependent Care Expenses,FALSE
en-US,US GAAP FASB,Depletion,FALSE
en-US,US GAAP FASB,Deposit Method,FALSE
en-US,US GAAP FASB,Depreciation,FALSE
en-US,US GAAP FASB,Derivatives,FALSE
en-US,US GAAP FASB,Detailed Income Statement,FALSE
en-US,US GAAP FASB,Detection Risk,FALSE
en-US,US GAAP FASB,Detective Controls,FALSE
en-US,US GAAP FASB,Direct Labor Costs,FALSE
en-US,US GAAP FASB,Direct Material,FALSE
en-US,US GAAP FASB,Direct Overhead,FALSE
en-US,US GAAP FASB,Disbursement,FALSE
en-US,US GAAP FASB,Disclaimer of Opinion,FALSE
en-US,US GAAP FASB,Disclosure,FALSE
en-US,US GAAP FASB,Discontinued Operations,FALSE
en-US,US GAAP FASB,Discount,FALSE
en-US,US GAAP FASB,Discount Bond,FALSE
en-US,US GAAP FASB,Discount Rate,FALSE
en-US,US GAAP FASB,Discount Yield,FALSE
en-US,US GAAP FASB,Discounted Cash Flow,FALSE
en-US,US GAAP FASB,Discretionary Trust,FALSE
en-US,US GAAP FASB,Disposable Income,FALSE
en-US,US GAAP FASB,Dissolution,FALSE
en-US,US GAAP FASB,Distribution Expense,FALSE
en-US,US GAAP FASB,Distributions,FALSE
en-US,US GAAP FASB,Dividend Payout Ratio,FALSE
en-US,US GAAP FASB,Dividends,FALSE
en-US,US GAAP FASB,Dividends in Arrears,FALSE
en-US,US GAAP FASB,Dividends Payable,FALSE
en-US,US GAAP FASB,Dividends Yield,FALSE
en-US,US GAAP FASB,Documentation Completion Date,FALSE
en-US,US GAAP FASB,Double Taxation,FALSE
en-US,US GAAP FASB,Double-Declining-Balance Depreciation Method (DDB),FALSE
en-US,US GAAP FASB,Double-Entry Bookkeeping,FALSE
en-US,US GAAP FASB,Draft,FALSE
en-US,US GAAP FASB,Dual Dating,FALSE
en-US,US GAAP FASB,Due Date,FALSE
en-US,US GAAP FASB,Due Diligence,FALSE
en-US,US GAAP FASB,Dutch Auction,FALSE
en-US,US GAAP FASB,Earned Income,FALSE
en-US,US GAAP FASB,Earned Income Tax Credit (EITC),FALSE
en-US,US GAAP FASB,Earnings Per Share (EPS),FALSE
en-US,US GAAP FASB,Earnings Price Ratio,FALSE
en-US,US GAAP FASB,Econometrics,FALSE
en-US,US GAAP FASB,Economic Growth Rate,FALSE
en-US,US GAAP FASB,Economics,FALSE
en-US,US GAAP FASB,Effective Interest Method,FALSE
en-US,US GAAP FASB,Effective Interest Rate,FALSE
en-US,US GAAP FASB,Effective Tax Rate,FALSE
en-US,US GAAP FASB,EITC,FALSE
en-US,US GAAP FASB,EITF,FALSE
en-US,US GAAP FASB,Emerging Issues Task Force (EITF),FALSE
en-US,US GAAP FASB,Employee Benefit Plan,FALSE
en-US,US GAAP FASB,Employee Stock Ownership Plan (ESOP),FALSE
en-US,US GAAP FASB,Encumbrance,FALSE
en-US,US GAAP FASB,Ending Inventory,FALSE
en-US,US GAAP FASB,Endorsement,FALSE
en-US,US GAAP FASB,Engagement Completion Document,FALSE
en-US,US GAAP FASB,Entrepreneur,FALSE
en-US,US GAAP FASB,EPS,FALSE
en-US,US GAAP FASB,Equilibrium Price,FALSE
en-US,US GAAP FASB,Equity,FALSE
en-US,US GAAP FASB,Equity Account,FALSE
en-US,US GAAP FASB,Equity Financing,FALSE
en-US,US GAAP FASB,Equity Method of Accounting,FALSE
en-US,US GAAP FASB,Equity Securities,FALSE
en-US,US GAAP FASB,Error,FALSE
en-US,US GAAP FASB,Escrow,FALSE
en-US,US GAAP FASB,ESOP,FALSE
en-US,US GAAP FASB,Estate Tax,FALSE
en-US,US GAAP FASB,Estimated Tax,FALSE
en-US,US GAAP FASB,Estimation Transactions,FALSE
en-US,US GAAP FASB,Evidential Matter,FALSE
en-US,US GAAP FASB,Exchanges,FALSE
en-US,US GAAP FASB,Excise Tax,FALSE
en-US,US GAAP FASB,Excluded Income,FALSE
en-US,US GAAP FASB,Exclusions,FALSE
en-US,US GAAP FASB,Executor,FALSE
en-US,US GAAP FASB,Exempt Organization,FALSE
en-US,US GAAP FASB,Exemption,FALSE
en-US,US GAAP FASB,Expatriation Tax,FALSE
en-US,US GAAP FASB,Expectation Gap,FALSE
en-US,US GAAP FASB,Expenditure,FALSE
en-US,US GAAP FASB,Expense,FALSE
en-US,US GAAP FASB,Expense Ratio,FALSE
en-US,US GAAP FASB,Experienced Auditor,FALSE
en-US,US GAAP FASB,Exploration Expenditures,FALSE
en-US,US GAAP FASB,Exposure Draft,FALSE
en-US,US GAAP FASB,Extension,FALSE
en-US,US GAAP FASB,Extent of Tests of Control,FALSE
en-US,US GAAP FASB,External Reporting,FALSE
en-US,US GAAP FASB,Extinguishment of Debt,FALSE
en-US,US GAAP FASB,Extraordinary Items,FALSE
en-US,US GAAP FASB,Face Value,FALSE
en-US,US GAAP FASB,Factoring,FALSE
en-US,US GAAP FASB,Factoring: Over-Advances,FALSE
en-US,US GAAP FASB,Factory Overhead Costs,FALSE
en-US,US GAAP FASB,Fair Credit Reporting Act,FALSE
en-US,US GAAP FASB,Fair Market Value,FALSE
en-US,US GAAP FASB,FASB,FALSE
en-US,US GAAP FASB,Favorable Variance,FALSE
en-US,US GAAP FASB,Federal Income Taxes,FALSE
en-US,US GAAP FASB,Federal Reserve Bank,FALSE
en-US,US GAAP FASB,Federal Reserve System,FALSE
en-US,US GAAP FASB,Fiduciary,FALSE
en-US,US GAAP FASB,FIFO,FALSE
en-US,US GAAP FASB,Filing of Returns,FALSE
en-US,US GAAP FASB,Finance,FALSE
en-US,US GAAP FASB,Financial Accounting Standards,FALSE
en-US,US GAAP FASB,Financial Accounting Standards Board (FASB),FALSE
en-US,US GAAP FASB,Financial Institution,FALSE
en-US,US GAAP FASB,Financial Leverage,FALSE
en-US,US GAAP FASB,Financial Statements,FALSE
en-US,US GAAP FASB,Finished Goods,FALSE
en-US,US GAAP FASB,Finished Goods Inventory,FALSE
en-US,US GAAP FASB,Firm,FALSE
en-US,US GAAP FASB,"First In, First Out (FIFO)",FALSE
en-US,US GAAP FASB,Fiscal Year,FALSE
en-US,US GAAP FASB,Fixed Annuity,FALSE
en-US,US GAAP FASB,Fixed Assets,FALSE
en-US,US GAAP FASB,Fixed Costs,FALSE
en-US,US GAAP FASB,Fixed Price,FALSE
en-US,US GAAP FASB,Fixture,FALSE
en-US,US GAAP FASB,Floor,FALSE
en-US,US GAAP FASB,Flotation Cost,FALSE
en-US,US GAAP FASB,FOB,FALSE
en-US,US GAAP FASB,FOB Destination,FALSE
en-US,US GAAP FASB,FOB Shipping Point,FALSE
en-US,US GAAP FASB,Forecast,FALSE
en-US,US GAAP FASB,Forecasted Balance Sheet,FALSE
en-US,US GAAP FASB,Forecasted Income Statement,FALSE
en-US,US GAAP FASB,Forecasting of Cash Flow,FALSE
en-US,US GAAP FASB,Foreclosure,FALSE
en-US,US GAAP FASB,Foreign Corporation,FALSE
en-US,US GAAP FASB,Foreign Currency Translation,FALSE
en-US,US GAAP FASB,Foreign Exchange,FALSE
en-US,US GAAP FASB,Foreign Tax Credit,FALSE
en-US,US GAAP FASB,Form 10-K,FALSE
en-US,US GAAP FASB,Form 10-Q,FALSE
en-US,US GAAP FASB,Form 8-K,FALSE
en-US,US GAAP FASB,Form W-4,FALSE
en-US,US GAAP FASB,Franchise,FALSE
en-US,US GAAP FASB,Franchise Tax,FALSE
en-US,US GAAP FASB,Fraud,FALSE
en-US,US GAAP FASB,Free Cash Flow,FALSE
en-US,US GAAP FASB,Free On Board (FOB),FALSE
en-US,US GAAP FASB,Freight In,FALSE
en-US,US GAAP FASB,Freight Out,FALSE
en-US,US GAAP FASB,Full Disclosure,FALSE
en-US,US GAAP FASB,Fund Accounting,FALSE
en-US,US GAAP FASB,Fundamental Analysis,FALSE
en-US,US GAAP FASB,Funding,FALSE
en-US,US GAAP FASB,Future Contract,FALSE
en-US,US GAAP FASB,Future Value,FALSE
en-US,US GAAP FASB,GAAP,FALSE
en-US,US GAAP FASB,GAAS,FALSE
en-US,US GAAP FASB,Gain,FALSE
en-US,US GAAP FASB,GAO,FALSE
en-US,US GAAP FASB,GASB,FALSE
en-US,US GAAP FASB,General Journal,FALSE
en-US,US GAAP FASB,General Ledger,FALSE
en-US,US GAAP FASB,General Partnership,FALSE
en-US,US GAAP FASB,Generally Accepted Accounting Principles (GAAP),FALSE
en-US,US GAAP FASB,Generally Accepted Auditing Standards (GAAS),FALSE
en-US,US GAAP FASB,Gift,FALSE
en-US,US GAAP FASB,Going Concern,FALSE
en-US,US GAAP FASB,Going Private,FALSE
en-US,US GAAP FASB,Going Public,FALSE
en-US,US GAAP FASB,Goods Available for Sale,FALSE
en-US,US GAAP FASB,Goodwill,FALSE
en-US,US GAAP FASB,Governing Documents,FALSE
en-US,US GAAP FASB,Government Accountability Office (GAO),FALSE
en-US,US GAAP FASB,Governmental Accounting Standards Board (GASB),FALSE
en-US,US GAAP FASB,Grantee,FALSE
en-US,US GAAP FASB,Grantor,FALSE
en-US,US GAAP FASB,Greenmail,FALSE
en-US,US GAAP FASB,Gross Income,FALSE
en-US,US GAAP FASB,Gross Margin,FALSE
en-US,US GAAP FASB,Gross Sales,FALSE
en-US,US GAAP FASB,Guaranty,FALSE
en-US,US GAAP FASB,Half-Life,FALSE
en-US,US GAAP FASB,Head of Household,FALSE
en-US,US GAAP FASB,Hedge,FALSE
en-US,US GAAP FASB,Held-to-Maturity Security,FALSE
en-US,US GAAP FASB,High-Low Method,FALSE
en-US,US GAAP FASB,High-Premium Convertible Debenture,FALSE
en-US,US GAAP FASB,Historical Cost,FALSE
en-US,US GAAP FASB,Holding Period,FALSE
en-US,US GAAP FASB,Hope Scholarship Credit,FALSE
en-US,US GAAP FASB,Horizontal Analysis,FALSE
en-US,US GAAP FASB,IASC,FALSE
en-US,US GAAP FASB,IMA,FALSE
en-US,US GAAP FASB,Improvement,FALSE
en-US,US GAAP FASB,Imputed Interest,FALSE
en-US,US GAAP FASB,In Arrears,FALSE
en-US,US GAAP FASB,Income,FALSE
en-US,US GAAP FASB,Income from Operation,FALSE
en-US,US GAAP FASB,Income Statement,FALSE
en-US,US GAAP FASB,Income Summary,FALSE
en-US,US GAAP FASB,Income Tax Basis,FALSE
en-US,US GAAP FASB,Incorporation,FALSE
en-US,US GAAP FASB,Incremental Cash Flow,FALSE
en-US,US GAAP FASB,Indenture,FALSE
en-US,US GAAP FASB,Independence Standard Board (ISB),FALSE
en-US,US GAAP FASB,Independent Broker,FALSE
en-US,US GAAP FASB,Index,FALSE
en-US,US GAAP FASB,Indirect Cost,FALSE
en-US,US GAAP FASB,Indirect Labor Costs,FALSE
en-US,US GAAP FASB,Indirect Manufacturing Costs,FALSE
en-US,US GAAP FASB,Indirect Materials,FALSE
en-US,US GAAP FASB,Indirect Method,FALSE
en-US,US GAAP FASB,Individual Retirement Account (IRA),FALSE
en-US,US GAAP FASB,Inflation,FALSE
en-US,US GAAP FASB,Inflation Rate,FALSE
en-US,US GAAP FASB,Inheritance,FALSE
en-US,US GAAP FASB,Initial Public Offering (IPO),FALSE
en-US,US GAAP FASB,Inquiry,FALSE
en-US,US GAAP FASB,Inside Information,FALSE
en-US,US GAAP FASB,Insolvency,FALSE
en-US,US GAAP FASB,Insolvent,FALSE
en-US,US GAAP FASB,Installment Method,FALSE
en-US,US GAAP FASB,Institute of Management Accounts (IMA),FALSE
en-US,US GAAP FASB,Instrument,FALSE
en-US,US GAAP FASB,Insurance,FALSE
en-US,US GAAP FASB,Insured Account,FALSE
en-US,US GAAP FASB,Intangible Asset,FALSE
en-US,US GAAP FASB,Interest,FALSE
en-US,US GAAP FASB,Interest Coverage Ratio,FALSE
en-US,US GAAP FASB,Interest Rate,FALSE
en-US,US GAAP FASB,Interim Dividend,FALSE
en-US,US GAAP FASB,Interim Financial Statements,FALSE
en-US,US GAAP FASB,Internal Audit,FALSE
en-US,US GAAP FASB,Internal Control,FALSE
en-US,US GAAP FASB,Internal Control Over Financial Reporting,FALSE
en-US,US GAAP FASB,Internal Rate of Return,FALSE
en-US,US GAAP FASB,Internal Revenue Code,FALSE
en-US,US GAAP FASB,Internal Revenue Service (IRS),FALSE
en-US,US GAAP FASB,International Accounting Standards Committee (IASC),FALSE
en-US,US GAAP FASB,International Mutual Fund,FALSE
en-US,US GAAP FASB,Intrinsic Value,FALSE
en-US,US GAAP FASB,Inventory,FALSE
en-US,US GAAP FASB,Inventory Financing,FALSE
en-US,US GAAP FASB,Inventory Turnover,FALSE
en-US,US GAAP FASB,Invest,FALSE
en-US,US GAAP FASB,Investing,FALSE
en-US,US GAAP FASB,Investment,FALSE
en-US,US GAAP FASB,Investment Banker,FALSE
en-US,US GAAP FASB,Investment Income,FALSE
en-US,US GAAP FASB,Investment Tax Credit,FALSE
en-US,US GAAP FASB,Invoice,FALSE
en-US,US GAAP FASB,Involuntary Conversions,FALSE
en-US,US GAAP FASB,IPO,FALSE
en-US,US GAAP FASB,IRA,FALSE
en-US,US GAAP FASB,IRS,FALSE
en-US,US GAAP FASB,ISB,FALSE
en-US,US GAAP FASB,Issue,FALSE
en-US,US GAAP FASB,Issued and Outstanding,FALSE
en-US,US GAAP FASB,Issuer,FALSE
en-US,US GAAP FASB,Jeopardy,FALSE
en-US,US GAAP FASB,Job Order,FALSE
en-US,US GAAP FASB,Joint Return,FALSE
en-US,US GAAP FASB,Joint Venture,FALSE
en-US,US GAAP FASB,Journal,FALSE
en-US,US GAAP FASB,Journal Entry,FALSE
en-US,US GAAP FASB,Junk Bonds,FALSE
en-US,US GAAP FASB,Just-In-Time,FALSE
en-US,US GAAP FASB,Keogh Plan,FALSE
en-US,US GAAP FASB,Key Employee,FALSE
en-US,US GAAP FASB,Key Industry,FALSE
en-US,US GAAP FASB,Key Person Insurance,FALSE
en-US,US GAAP FASB,Kiting,FALSE
en-US,US GAAP FASB,Labor,FALSE
en-US,US GAAP FASB,Laissez-Faire,FALSE
en-US,US GAAP FASB,Land,FALSE
en-US,US GAAP FASB,"Last In, First Out (LIFO)",FALSE
en-US,US GAAP FASB,Lay Off,FALSE
en-US,US GAAP FASB,Lease,FALSE
en-US,US GAAP FASB,Lease Acquisition Cost,FALSE
en-US,US GAAP FASB,Lease-Purchase Agreement,FALSE
en-US,US GAAP FASB,Leasehold,FALSE
en-US,US GAAP FASB,Ledger,FALSE
en-US,US GAAP FASB,Ledger Account,FALSE
en-US,US GAAP FASB,Lender,FALSE
en-US,US GAAP FASB,Lending Securities,FALSE
en-US,US GAAP FASB,Lessee,FALSE
en-US,US GAAP FASB,Lessor,FALSE
en-US,US GAAP FASB,Letter of Credit,FALSE
en-US,US GAAP FASB,Letter of Intent,FALSE
en-US,US GAAP FASB,Leverage,FALSE
en-US,US GAAP FASB,Leveraged Buy Out,FALSE
en-US,US GAAP FASB,Leveraged Lease,FALSE
en-US,US GAAP FASB,Liability,FALSE
en-US,US GAAP FASB,Lien,FALSE
